club,last_name,first_name,position,base_salary,guaranteed_compensation
New England Revolution,Parkhurst,Michael,D,135382.5,147882.5
New York Red Bulls,Patterson,Caleb,GK,12900.0,12900.0
Chicago Fire,Pause,Logan,M,81730.0,84230.0
DC United,Peralta,Gonzalo,D,180000.0,199000.0
Columbus Crew,Peterson,Andrew,D,12900.0,12900.0
Colorado Rapids,Peterson,Jacob,F,75000.0,93750.0
Colorado Rapids,Petke,Mike,D,133000.0,133000.0
New England Revolution,Phelan,Pat,M,33000.0,33000.0
Columbus Crew,Pierre-Louis,Ricardo,F,17700.0,17700.0
New York Red Bulls,Pietravallo,Juan,M,192000.0,192000.0
LA Galaxy,Pires,Alvaro,M,100000.0,110775.31
FC Dallas,Pitchkolan,Aaron,D,33000.0,33000.0
Sporting Kansas City,Pizarro,Nelson,M,12900.0,12900.0
Columbus Crew,Plotkin,Brian,M,12900.0,12900.0
Sporting Kansas City,Pore,Ryan,F,54807.5,67307.5
Chicago Fire,Prideaux,Brandon,D,72000.0,72000.0
DC United,Quaranta,Santino,M,35000.0,35000.0
New England Revolution,Ralston,Steve,M,150000.0,150000.0
LA Galaxy,Randolph,Michael,D,33000.0,33000.0
CHV,Razov,Ante,F,255000.0,258750.0
Real Salt Lake,Reiman,Kevin,M,12900.0,12900.0
New England Revolution,Reis,Matt,GK,161250.0,161250.0
Real Salt Lake,Reynish,Kyle,GK,17700.0,17700.0
FC Dallas,Rhine,Bobby,D,65000.0,67500.0
FC Dallas,Ricchetti,Pablo,M,132000.0,138625.0
New York Red Bulls,Richards,Dane,M,33000.0,33000.0
Toronto FC,Ricketts,Rohan,M,200004.0,212504.0
San Jose Earthquakes,Riley,James,D,33000.0,33000.0
Real Salt Lake,Rimando,Nick,GK,91500.0,95843.75
San Jose Earthquakes,Roberts,Jamil,D,17700.0,17700.0
LA Galaxy,Roberts,Troy,D,33000.0,33000.0
Toronto FC,Robinson,Carl,M,315000.0,330000.0
Chicago Fire,Robinson,Dasan,D,44625.0,44625.0
Houston Dynamo,Robinson,Eddie,D,131250.0,131250.0
FC Dallas,Rocha,Andre,M,135000.0,135000.0
Columbus Crew,Rogers,Robbie,M,57500.0,57500.0
New York Red Bulls,Rojas,Jorge,M,84000.0,94000.0
Chicago Fire,Rolfe,Chris,F,81375.0,86075.0
Toronto FC,Rosenlund,Tyler,M,17700.0,17700.0
New York Red Bulls,Roth,David,M,12900.0,12900.0
FC Dallas,Rowland,Jeff,M,17700.0,17700.0
Pool,Rueckner,Bryant,GK,17700.0,17700.0
Toronto FC,Ruiz,Carlos,F,350000.0,460000.0
Real Salt Lake,Russell,Robbie,M,95016.0,100767.43
FC Dallas,Sala,Dario,GK,130000.0,139875.0
San Jose Earthquakes,Salinas,Shea,M,33000.0,33000.0
FC Dallas,Saragosa,Marcelo,M,70350.0,74635.71
Colorado Rapids,Sarkodie,Kwame,D,12900.0,12900.0
New York Red Bulls,Sassano,Luke,M,17700.0,17700.0
LA Galaxy,Saunders,Josh,GK,33000.0,33000.0
CHV,Savage,Keith,F,12900.0,12900.0
Columbus Crew,Schelotto,Guillermo Barros,F,250000.0,375000.0
Columbus Crew,Schoeni,Kenny,GK,17700.0,17700.0
San Jose Earthquakes,Sealy,Scott,F,34728.75,34728.75
Chicago Fire,Segares,Gonzalo,D,58590.0,61090.0
Real Salt Lake,Seitz,Chris,GK,70000.0,105500.0
FC Dallas,Serioux,Adrian,D,113400.0,125900.0
LA Galaxy,Sesay,Israel,F,45000.0,77083.33
Pool,Sharpe,Christopher,GK,33000.0,33000.0
FC Dallas,Shea,Brek,M,45000.0,78000.0
FC Dallas,Sikora,Victor,M,144000.0,163285.71
DC United,Simms,Clyde,M,57750.0,59000.0
San Jose Earthquakes,Smarte,Adam,F,17700.0,17700.0
Toronto FC,Smith,Jarrod,F,36000.0,36000.0
Toronto FC,Smith,Johann,F,36000.0,47666.67
New England Revolution,Smith,Khano,M,46305.0,46305.0
San Jose Earthquakes,Somma,Davide,M,12900.0,12900.0
Chicago Fire,Soumare,Bakary,D,70000.0,103000.0
Sporting Kansas City,Souter,Kevin,M,12900.0,12900.0
New York Red Bulls,Stammler,Seth,M,105000.0,105000.0
DC United,Stratford,Dan,M,17700.0,17700.0
Real Salt Lake,Sturgis,Nathan,M,75000.0,108000.0
CHV,Suarez,Claudio,D,125000.0,137500.0
Toronto FC,Sutton,Greg,GK,150000.0,157562.5
CHV,Talley,Carey,D,105000.0,105000.0
Real Salt Lake,Tennelle,Brennan,M,12900.0,12900.0
CHV,Thomas,Shavar,D,95000.0,98750.0
FC Dallas,Thompson,Abe,F,33000.0,33000.0
DC United,Thompson,Craig,M,12900.0,12900.0
New England Revolution,Thompson,Wells,M,33000.0,33000.0
CHV,Thornton,Zach,GK,50000.0,52500.0
DC United,Thorpe,James,GK,12900.0,12900.0
Chicago Fire,Thorrington,John,M,60000.0,61875.0
New England Revolution,Tierney,Chris,D,12900.0,12900.0
